Parent Airline,Airline,Aircraft Type,Total,Unit Cost,Total Cost (Current)
LATAM Airlines Chile,LATAM Airlines Chile,Boeing 787 Dreamliner,23,265,5832
Lion Air,Lion Air,Airbus A310,1,75,0
Lion Air,Batik Air,Airbus A320,28,98,2646
Lion Air,Lion Air,Airbus A320,11,98,0
Lion Air,Lion Air,Airbus A330,3,240,720
Lion Air,Malindo Air,Airbus A330,12,240,0
Lion Air,Malindo Air,ATR 42/72,16,22,354
Lion Air,Wings Air,ATR 42/72,54,22,1127
Lion Air,Thai Lion Air,ATR 42/72,1,22,0
Lion Air,Lion Air,Boeing 737,131,74,799
Lion Air,Batik Air,Boeing 737,20,74,1036
Lion Air,Malindo Air,Boeing 737,27,74,185
Lion Air,Thai Lion Air,Boeing 737,24,74,1776
Lion Air,Lion Air,Boeing 747,2,316,632
Lion Air,Wings Air,De Havilland Canada DHC-8 Dash 8,3,7,0
Lion Air,Lion Air,McDonnell Douglas MD-80,20,45,0
Lion Air,Wings Air,McDonnell Douglas MD-80,16,45,0
Lion Air,Lion Air,McDonnell Douglas MD-90,5,45,0
LOT Polish Airlines,LOT Polish Airlines,ATR 42/72,8,22,0
LOT Polish Airlines,LOT Polish Airlines,Boeing 737,26,74,222
LOT Polish Airlines,LOT Polish Airlines,Boeing 767,10,187,0
LOT Polish Airlines,LOT Polish Airlines,Boeing 787 Dreamliner,7,265,1591
LOT Polish Airlines,LOT Polish Airlines,De Havilland Canada DHC-8 Dash 8,10,31,313
LOT Polish Airlines,LOT Polish Airlines,Embraer ERJ-145,14,20,0
LOT Polish Airlines,LOT Polish Airlines,Embraer ERJ-170,24,39,697
LOT Polish Airlines,LOT Polish Airlines,Embraer ERJ-190,6,46,277
LOT Polish Airlines,LOT Polish Airlines,McDonnell Douglas DC-10,3,145,0
LOT Polish Airlines,LOT Polish Airlines,McDonnell Douglas DC-8,1,6,0
LOT Polish Airlines,LOT Polish Airlines,Tupolev Tu-154,1,16,0
Lufthansa,Lufthansa,Airbus A300,26,75,0
Lufthansa,Lufthansa,Airbus A310,25,75,0
Lufthansa,Austrian Airlines,Airbus A310,4,75,0
Lufthansa,Lufthansa,Airbus A319,35,90,2688
Lufthansa,Austrian Airlines,Airbus A319,7,90,627
Lufthansa,Brussels Airlines,Airbus A319,23,90,1882
Lufthansa,Germanwings,Airbus A319,50,90,3853
Lufthansa,Swiss International Airlines,Airbus A319,8,90,448
Lufthansa,Brussels Airlines,Airbus A319,23,90,1882
Lufthansa,Eurowings,Airbus A319,5,90,0
Lufthansa,Lufthansa,Airbus A320,93,98,6468
Lufthansa,Austrian Airlines,Airbus A320,18,98,1764
Lufthansa,Brussels Airlines,Airbus A320,9,98,882
Lufthansa,Eurowings,Airbus A320,29,98,2058
Lufthansa,Eurowings Europe,Airbus A320,3,98,294
Lufthansa,Germanwings,Airbus A320,26,98,1568
Lufthansa,Swiss International Airlines,Airbus A320,26,98,2156
Lufthansa,Edelweiss Air,Airbus A320,6,98,588
Lufthansa,Brussels Airlines,Airbus A320,9,98,882
Lufthansa,Lufthansa,Airbus A321,64,115,7354
Lufthansa,Austrian Airlines,Airbus A321,6,115,689
Lufthansa,Swiss International Airlines,Airbus A321,13,115,1034
Lufthansa,Austrian Airlines,Airbus A330,4,115,0
Lufthansa,Lufthansa,Airbus A330,24,240,456
Lufthansa,Brussels Airlines,Airbus A330,10,240,216
Lufthansa,Eurowings,Airbus A330,7,240,144
Lufthansa,Swiss International Airlines,Airbus A330,29,240,336
Lufthansa,Edelweiss Air,Airbus A330,4,240,480
Lufthansa,Brussels Airlines,Airbus A330,10,240,216
Lufthansa,Austrian Airlines,Airbus A340,4,216,0
Lufthansa,Lufthansa,Airbus A340,62,216,9053
Lufthansa,Swiss International Airlines,Airbus A340,15,216,2156
Lufthansa,Edelweiss Air,Airbus A340,3,216,216
Lufthansa,Lufthansa CityLine,Airbus A340,12,216,1078
Lufthansa,Lufthansa,Airbus A350 XWB,6,312,0
Lufthansa,Lufthansa,Airbus A380,14,433,6056
Lufthansa,Lufthansa CityLine,ATR 42/72,7,22,0
Lufthansa,Eurowings,ATR 42/72,45,22,0
Lufthansa,Air Dolomiti,ATR 42/72,29,22,0
Lufthansa,Swiss Global Airlines,Avro RJ100,7,30,295
Lufthansa,Germanwings,Boeing 717,2,37,0
Lufthansa,Lufthansa,Boeing 727,1,4,0
Lufthansa,Lufthansa,Boeing 737,155,74,0
Lufthansa,Lufthansa Cargo,Boeing 737,4,74,0
Lufthansa,Austrian Airlines,Boeing 737,13,74,0
Lufthansa,Brussels Airlines,Boeing 737,11,74,0
Lufthansa,Eurowings,Boeing 737,3,74,148
Lufthansa,Brussels Airlines,Boeing 737,11,74,0
Lufthansa,Lufthansa Cargo,Boeing 747,10,316,0
Lufthansa,Lufthansa,Boeing 747,80,316,10106
Lufthansa,Lufthansa,Boeing 767,3,187,0
Lufthansa,Austrian Airlines,Boeing 767,6,187,1121
Lufthansa,Lufthansa,Boeing 777,7,295,0
Lufthansa,Lufthansa Cargo,Boeing 777,5,295,1473
Lufthansa,Austrian Airlines,Boeing 777,5,295,1473
Lufthansa,Swiss International Airlines,Boeing 777,7,295,1767
Lufthansa,Swiss Global Airlines,Boeing 777-300,7,320,1921
Lufthansa,Swiss International Airlines,Bombardier BD-500 CSeries,6,82,328
Lufthansa,Swiss Global Airlines,Bombardier CS100,7,72,287
Lufthansa,Swiss Global Airlines,Bombardier CS300,7,72,0
Lufthansa,Lufthansa CityLine,British Aerospace BAe 146/Avro RJ,23,14,0
Lufthansa,Eurowings,British Aerospace BAe 146/Avro RJ,18,14,0
Lufthansa,Air Dolomiti,British Aerospace BAe 146/Avro RJ,6,14,0
Lufthansa,Brussels Airlines,British Aerospace BAe 146/Avro RJ,33,14,109
Lufthansa,Swiss International Airlines,British Aerospace BAe 146/Avro RJ,25,14,122
Lufthansa,Brussels Airlines,British Aerospace BAe 146/Avro RJ,33,14,109
Lufthansa,Lufthansa CityLine,Canadair CRJ-100 Series,48,32,0
Lufthansa,Eurowings,Canadair CRJ-100 Series,23,32,0
Lufthansa,Air Dolomiti,Canadair CRJ-100 Series,5,32,0
Lufthansa,Lufthansa CityLine,Canadair CRJ-700,20,41,0
Lufthansa,Eurowings,Canadair CRJ-700,2,41,0
Lufthansa,Lufthansa CityLine,Canadair CRJ-900,27,46,1242
Lufthansa,Eurowings,Canadair CRJ-900,23,46,368
Lufthansa,Lufthansa CityLine,De Havilland Canada DHC-8 Dash 8,4,7,0
Lufthansa,Air Dolomiti,De Havilland Canada DHC-8 Dash 8,3,7,0
Lufthansa,Austrian Airlines,De Havilland Canada DHC-8 Dash 8,19,31,563
Lufthansa,Brussels Airlines,De Havilland Canada DHC-8 Dash 8,5,31,63
Lufthansa,Brussels Airlines,De Havilland Canada DHC-8 Dash 8,5,31,63
Lufthansa,Eurowings,Dornier Do-328,1,8,0
Lufthansa,Swiss International Airlines,Embraer ERJ-145,25,20,0
Lufthansa,Brussels Airlines,Embraer ERJ-145,1,20,20
Lufthansa,Brussels Airlines,Embraer ERJ-145,1,20,20
Lufthansa,Lufthansa CityLine,Embraer ERJ-190,33,46,1063
Lufthansa,Austrian Airlines,Embraer ERJ-190,17,46,462
Lufthansa,Air Dolomiti,Embraer ERJ-190,11,46,462
Lufthansa,Lufthansa CityLine,Fokker F50 / F60,35,18,0
Lufthansa,Air Dolomiti,Fokker F70 / F100,2,20,0
Lufthansa,Austrian Airlines,Fokker F70 / F100,30,20,220
Lufthansa,Lufthansa,McDonnell Douglas DC-10,12,145,0
Lufthansa,Lufthansa Cargo,McDonnell Douglas DC-10,1,145,0
Lufthansa,Lufthansa,McDonnell Douglas DC-8,1,6,0
Lufthansa,Lufthansa Cargo,McDonnell Douglas DC-8,5,6,0
Lufthansa,Austrian Airlines,McDonnell Douglas DC-9,15,45,0
Lufthansa,Swiss International Airlines,McDonnell Douglas MD-11,16,175,0
Lufthansa,Lufthansa Cargo,McDonnell Douglas MD-11,19,175,21
Lufthansa,Austrian Airlines,McDonnell Douglas MD-80,29,45,0
Lufthansa,Germanwings,McDonnell Douglas MD-80,4,45,0
Lufthansa,Swiss International Airlines,McDonnell Douglas MD-80,11,45,0
Lufthansa,Edelweiss Air,McDonnell Douglas MD-80,3,45,0
Lufthansa,Swiss International Airlines,Saab 2000,31,12,0
Malaysia Airlines,Malaysia Airlines,Airbus A300,6,75,0
Malaysia Airlines,Malaysia Airlines,Airbus A330,37,240,432
Malaysia Airlines,Malaysia Airlines,Airbus A350 XWB,1,312,0
